process_id,process_name,cpu_percent,memory_usage,timestamp
765,amsengagementd,0.0,45.4375,2025-07-18 15:34:07.700955
767,searchpartyuseragent,0.0,37.5,2025-07-18 15:34:07.701011
768,WiFiCloudAssetsXPCService,0.0,2.1875,2025-07-18 15:34:07.701067
769,CalendarWidgetExtension,0.0,26.21875,2025-07-18 15:34:07.701128
771,swtransparencyd,0.0,15.15625,2025-07-18 15:34:07.701181
772,WorldClockWidget,0.0,39.421875,2025-07-18 15:34:07.701234
773,ProtectedCloudKeySyncing,0.0,11.46875,2025-07-18 15:34:07.701285
774,Keychain Circle Notification,0.0,18.015625,2025-07-18 15:34:07.701343
776,seserviced,0.0,12.59375,2025-07-18 15:34:07.701387
777,maild,0.0,15.0,2025-07-18 15:34:07.701428
778,CMFSyncAgent,0.0,10.640625,2025-07-18 15:34:07.701468
781,localspeechrecognition,0.0,10.671875,2025-07-18 15:34:07.701614
782,CloudTelemetryService,0.0,18.875,2025-07-18 15:34:07.701665
783,mediaremoteagent,0.0,4.140625,2025-07-18 15:34:07.701720
784,avconferenced,0.0,64.765625,2025-07-18 15:34:07.701760
785,BTLEServerAgent,0.0,5.15625,2025-07-18 15:34:07.701818
786,colorsync.useragent,0.0,6.046875,2025-07-18 15:34:07.701872
788,AssetCacheLocatorService,0.0,12.546875,2025-07-18 15:34:07.701970
790,UniversalControl,0.0,28.140625,2025-07-18 15:34:07.702071
791,SidecarRelay,0.0,8.671875,2025-07-18 15:34:07.702111
792,CloudTelemetryService,0.0,23.390625,2025-07-18 15:34:07.702165
793,CoreThreadCommissionerServiced,0.0,5.09375,2025-07-18 15:34:07.702216
806,geodMachServiceBridge,0.0,4.1875,2025-07-18 15:34:07.702571
807,appstoreagent,0.0,42.234375,2025-07-18 15:34:07.702611
819,gamecontrolleragentd,0.0,5.953125,2025-07-18 15:34:07.702930
820,CallHistorySyncHelper,0.0,29.234375,2025-07-18 15:34:07.702983
827,SiriSuggestionsBookkeepingService,0.0,54.296875,2025-07-18 15:34:07.703132
831,StocksKitService,0.0,15.953125,2025-07-18 15:34:07.703187
840,SetStoreUpdateService,0.0,11.796875,2025-07-18 15:34:07.703377
846,appplaceholdersyncd,0.0,14.390625,2025-07-18 15:34:07.703500
848,mdbulkimport,0.0,26.46875,2025-07-18 15:34:07.703591
849,ModelCatalogAgent,0.0,15.09375,2025-07-18 15:34:07.703645
852,ScopedBookmarkAgent,0.0,9.359375,2025-07-18 15:34:07.703738
855,com.apple.StreamingUnzipService,0.0,12.0,2025-07-18 15:34:07.703791
856,promotedcontentd,0.0,18.546875,2025-07-18 15:34:07.703842
858,SoftwareUpdateNotificationManager,0.0,39.25,2025-07-18 15:34:07.703946
859,progressd,0.0,12.5625,2025-07-18 15:34:07.703988
864,com.apple.audio.ComponentTagHelper,0.0,2.703125,2025-07-18 15:34:07.704044
865,spotlightknowledged,0.0,60.078125,2025-07-18 15:34:07.704100
868,adprivacyd,0.0,18.40625,2025-07-18 15:34:07.704184
869,AppPredictionIntentsHelperService,0.0,31.9375,2025-07-18 15:34:07.704239
872,weatherd,0.0,14.1875,2025-07-18 15:34:07.704332
873,extensionkitservice,0.0,4.65625,2025-07-18 15:34:07.704383
874,CalendarIntentsExtension,0.0,12.34375,2025-07-18 15:34:07.704439
875,SafariLinkExtension,0.0,12.203125,2025-07-18 15:34:07.704494
876,MessagesActionExtension,0.0,21.8125,2025-07-18 15:34:07.704555
878,SAExtensionOrchestrator,0.0,22.328125,2025-07-18 15:34:07.704603
879,extensionkitservice,0.0,4.640625,2025-07-18 15:34:07.704657
